Problem,Method,VAH,Nodes,Backtracks,Runtime(ms)
d-10-01,BTSolver,VAH1,249,96,2
d-10-06,BTSolver,VAH1,57,0,0
d-10-07,BTSolver,VAH1,399,171,1
d-10-08,BTSolver,VAH1,457,200,1
d-10-09,BTSolver,VAH1,57,0,0
d-15-01,BTSolver,VAH1,689604,344749,451
d-10-01,BTSolver,VAH3,57,0,1
d-10-06,BTSolver,VAH3,509,226,2
d-10-07,BTSolver,VAH3,229,86,1
d-10-08,BTSolver,VAH3,647,295,3
d-10-09,BTSolver,VAH3,65,4,0
d-15-01,BTSolver,VAH3,162068,80981,206
d-10-01,BTSolver,VAH4,1505,724,5
d-10-06,BTSolver,VAH4,1983,963,2
d-10-07,BTSolver,VAH4,11583,5763,9
d-10-08,BTSolver,VAH4,33021,16482,25
d-10-09,BTSolver,VAH4,1277,610,0
d-10-01,BTSolver,VAH2,1358266597,679133270,210781
d-10-01,FCSolver,VAH1,240,87,3
d-10-06,FCSolver,VAH1,57,0,0
d-10-07,FCSolver,VAH1,379,151,1
d-10-08,FCSolver,VAH1,441,184,0
d-10-09,FCSolver,VAH1,57,0,0
d-15-01,FCSolver,VAH1,653600,308745,645
d-10-01,FCSolver,VAH2,14157,5482,13
d-10-06,FCSolver,VAH2,19197,7441,7
d-10-07,FCSolver,VAH2,28133,10881,18
d-10-08,FCSolver,VAH2,115776,45656,25
d-10-09,FCSolver,VAH2,310,93,0
d-10-01,FCSolver,VAH3,57,0,1
d-10-06,FCSolver,VAH3,349,140,2
d-10-07,FCSolver,VAH3,213,73,1
d-10-08,FCSolver,VAH3,597,256,2
d-10-09,FCSolver,VAH3,64,3,0
d-15-01,FCSolver,VAH3,37297,17420,69
d-10-01,FCSolver,VAH4,607,213,5
d-10-06,FCSolver,VAH4,787,299,2
d-10-07,FCSolver,VAH4,2569,966,4
d-10-08,FCSolver,VAH4,17381,6785,19
d-10-09,FCSolver,VAH4,262,80,0
d-10-01,FCSolver,VAH5,758476,274174,302
d-10-06,FCSolver,VAH5,23190,8424,6
d-10-07,FCSolver,VAH5,5543477,2022440,1621
d-10-08,FCSolver,VAH5,99787,36954,22
d-15-01,FCSolver,VAH2,112774511,44845411,28029
d-10-09,FCSolver,VAH5,916745173,333813175,226655
d-10-06,BTSolver,VAH2,3740420359,1870210151,465896
d-15-01,FCSolver,VAH4,1154321542,452652469,691029
d-10-07,BTSolver,VAH2,3391412765,1695706354,433952
